id;name;email;phone
1;Lead metrics;Rosalind.Lind57@yahoo.com;1-854-387-9652 x3492
2;capacitor Bypass;Ariane_Tromp30@yahoo.com;934.499.4875 x483
3;Chair;Angelina94@yahoo.com;420.460.9302
4;open-source;Berniece.Hansen70@yahoo.com;924-937-3176
5;Leone;Kaleb42@yahoo.com;1-663-240-3907 x844
6;Strategist;Justine_Shields7@gmail.com;524-711-9267 x516
7;transmit;Dominique_Graham17@hotmail.com;480-524-7329
8;e-markets Account;Loy.Gorczany53@yahoo.com;(356) 810-9672 x023
9;Expanded;Addie.Pagac26@yahoo.com;1-583-943-0719 x1886
10;COM Towels;Adrienne_Cassin@yahoo.com;(810) 765-3631 x9412
